training_total,testing_total,P/L
1290698.3702636722,3000815.8387368917,PROFIT
12315012.400456559,34066914.50206617,PROFIT
113867132.85566607,102319421.79090889,LOSS
377371921.615293,250021074.1758452,LOSS
1863073742.9114935,2884792253.829308,PROFIT
151168590.0671832,127325189.28922842,LOSS
1092337409.4618888,1786718322.54256,PROFIT
67745343.58728592,90522431.40413927,PROFIT
1734402.8441283703,1604831.5727311226,LOSS
5083616.992388316,26172575.967766665,PROFIT
52234802.28604848,58559317.50505948,PROFIT
1257852.3773187492,1748016.3134624793,PROFIT
27987.75850915145,135074.44244466428,PROFIT
988.4582481005068,871.9014576990763,LOSS
8153.817040051805,4354.398326236284,LOSS
11174.673911095268,27553.42005474005,PROFIT
46563.40807524227,139811.47120772558,PROFIT
3814.856296753718,7885.864465704855,PROFIT
9542.097336641755,6524.270075539314,LOSS
20554.97183338781,52181.62331766081,PROFIT
