training_total,testing_total,
106269.8181,113170.9234,PROFIT
92179.82546,64186.60557,LOSS
60921.84914,57927.28044,LOSS
86177.84844,53654.90306,LOSS
107285.4814,65152.58247,LOSS
104289.1113,75085.5393,LOSS
93062.98211,81161.27781,LOSS
101207.7299,119293.104,PROFIT
76678.38021,71220.09613,LOSS
89960.22411,120995.5636,PROFIT
71656.27214,40394.90776,LOSS
95799.63786,97252.44751,PROFIT
80530.66666,77317.66432,LOSS
83839.5281,93150.41161,PROFIT
81215.80949,95335.93182,PROFIT
78763.12294,80077.18224,PROFIT
81976.869,67416.60874,LOSS
80472.15687,64757.13032,LOSS
85801.24736,66078.50302,LOSS
111013.6751,209100.4857,PROFIT
